
// E = stone/default
// G = glass-breakable
// W = WOOD
// S = snow
// R = grass
// P = plaster
// M = Metal
// C = Carpet
// U = glass-unbreakable
// D = Sand
// I = Dirt
// N = No Effects

// M missile/plate_dmetal // sample


////////////////////////////////////////
//SKY
///////////////////////////////////////

N special/sky
W island/isle_pole3_2
M island/isle_redfmetl2_1
M island/isle_redmetl1_1
M island/isle_redmetl1_2
M island/isle_redmetl1_3
M island/isle_redmetl1_4
M island/isle_redmetl1_5
E island/isle_rock_btmdrt
E island/isle_rock_btmgrs
E island/isle_rock_top
E island/isle_rock_top2
E island/isle_rock_top3
E island/isle_rock5
E island/isle_rock5_TR
W island/isle_roof2_1
C island/isle_rug1_1
M island/isle_security_mon
M island/isle_security_mon1
M island/isle_server1_1
M island/isle_server2_1
M island/isle_server2_1_dam
M island/isle_server2_2
M island/isle_server3_1
M island/isle_server3_1_dam
M island/isle_server4_1
M island/isle_server4_1_dam
M island/isle_server4_1a
M island/isle_server4_1a_dam1
M island/isle_server5_1
M island/isle_server5_1_dam
M island/isle_server5_2
M island/isle_shed1_1
M island/isle_shed2_1
M Misland/isle_shed3_1
M island/isle_shed4_6
M island/isle_shed6
M island/isle_side1_1
M island/isle_side1_2
M island/isle_side2_1
M island/isle_side4_1
M island/isle_side4_2
M island/isle_side4_3
M island/isle_side4_3A
M island/isle_side5_1
M island/isle_side5_3
M island/isle_slidedoor1_1
M island/isle_slidedoor2_1
M island/isle_slidedoor3_1
M island/isle_slidedoor4_1
E island/isle_tileflr1_1
E island/isle_tileflr1_1a
E island/isle_tileflr2_1
M island/isle_top1_1
M island/isle_tread1_1
M island/isle_trim1_0
M island/isle_trim1_1
M island/isle_trim1_10
M island/isle_trim1_11
M island/isle_trim1_12
M island/isle_trim1_13
M island/isle_trim1_14
M island/isle_trim1_15
M island/isle_trim1_16
M island/isle_trim1_17
M island/isle_trim1_2
M island/isle_trim1_3
M island/isle_trim1_3_2
M island/isle_trim1_3_3
M island/isle_trim1_4
M island/isle_trim1_5
M island/isle_trim1_6
M island/isle_trim1_7
M island/isle_trim1_8
M island/isle_trim1_9
M island/isle_trim2_1
M island/isle_trim2_2
M island/isle_trim4_1
M island/isle_trim4_1a
M island/isle_trim4_1b
M island/isle_trim4_1c
I island/isle_underwtr1_1
I island/isle_underwtr1_3
E island/isle_wall1_1
E island/isle_wall1_1a
E island/isle_wall1_1c
E island/isle_wall1_1d
M island/isle_wall1_2
M island/isle_wall1_2a
E island/isle_wall10_1
E island/isle_wall10_2
E island/isle_wall10_3
E island/isle_wall10_4
E island/isle_wall11_1a
E island/isle_wall11_2
E island/isle_wall11_3
E island/isle_wall11_4
E island/isle_wall11_4a
E island/isle_wall11_4aa
E island/isle_wall11_4b
E island/isle_wall11_4bb
E island/isle_wall11_4c
E island/isle_wall11_4cc
M island/isle_wall11_4d
M island/isle_wall11_5
M island/isle_wall11_5a
M island/isle_wall11_6
M island/isle_wall11_7
M island/isle_wall11_7d
M island/isle_wall11_8
P island/isle_wall12_1
P island/isle_wall12_2
M island/isle_wall12_3
M island/isle_wall13_1
M island/isle_wall14_1
E island/isle_wall14_1a
E island/isle_wall14_2
E island/isle_wall14_2a
M island/isle_wall14_3
M island/isle_wall14_4
P island/isle_wall2_1
P island/isle_wall3_1
P island/isle_wall5_1
E island/isle_wall5_1a
E island/isle_wall5_1b
P island/isle_wall5_1c
P island/isle_wall5_1d
P island/isle_wall5_1e
P island/isle_wall5_1f
P island/isle_wall5_1g
P island/isle_wall5_1h
E island/isle_wall5_1i
P island/isle_wall5_2
P island/isle_wall9_1
P island/isle_wall9_2
P island/isle_wall9_3
P island/isle_wall9_4
P island/isle_wall9_5
P island/isle_wall9_6
P island/isle_walllblue
P island/isle_walllbrown
P island/isle_warehouse
P island/isle_warehouse3
P island/isle_warehouse4
P Pisland/isle_warehouse5
P island/isle_warehouse6
P island/isle_whitewall1_1
M island/isle_wmetl1_1
M island/isle_wmetl1_2
M island/isle_wmetl2_2
M island/isle_yellmetl1_1
M island/isle_yellmetl1_2
M island/isle_yellmetl2_3
M island/islebase6_1
M island/islebase6_2
M island/islebase8_1
M island/metal4_1
M island/metal4_2
U island/mirror1
U island/mirror2
M island/pillar2
M island/pillar3
M island/pillar4
E island/rock_512_8_5
E island/rock_wall_big1_1
E island/rock_wall_big1_3
E island/rock_wall_big1_4
E island/rock_wall_big2_1
E island/rock1_1
M island/server_side1_1
M island/server_side1_2
M island/server_side1_3
M island/server_side1_4
M island/server_side1_5
M island/server_side2_1
M island/server_side2_2
M island/server_side2_3
M island/server_side2_4
M island/server_side2_5
M island/server_side3_1
M island/server_side3_2
M island/server_side3_3
M island/server_side3_5
M island/server1_1
M island/server1_1_dam
E island/stairs1_1
E island/stairs2_1
R island/tree_jungle_00
M island/water_tank
M island/water_tank1
M island/water_tank3
M island/water_tanktop1
U island/window1_1
U island/window1_2

/////////////////////////////////////
//M90 Space
/////////////////////////////////////

M space/missile_black_metal
M space/missile_wing_red
M space/missle_metal01a_128x128
M space/missle_metal02_128x128
M space/missle_metal03_064x128
M space/missle_metal04_064x128
M space/missle_metal04_128x128
M space/missle_metal05_064x128
M space/missle_metal07_064x128
M space/missle_metal07_128x128
M space/missle_metal07a_064x128
M space/Sign_DockA_01_RedWhite
M space/Sign_DockA_02_BlueWhite
M space/Sign_DockA_03_YellowBlk
M space/Sign_DockA_04_BlueBlk
M space/Sign_DockB_01_RedWhite
M space/Sign_DockB_02_BlueWhite
M space/Sign_DockB_03_YellowBlk
M space/Sign_DockB_04_BlueBlk
M space/Sign_EmergencyExit_01_RedWhite
M space/Sign_EmergencyExit_02_BlueWhite
M space/Sign_EmergencyExit_03_YellowBlk
M space/Sign_EmergencyExit_04_BlueBlk
M space/Sign_EscapePod_01_RedWhite
M space/Sign_EscapePod_02_BlueWhite
M space/Sign_EscapePod_03_YellowBlk
M space/Sign_EscapePod_04_BlueBlk
M space/Sign_HangarA_01_RedWhite
M space/Sign_HangarA_02_BlueWhite
M space/Sign_HangarA_03_YellowBlk
M space/Sign_HangarA_04_BlueBlk
M space/Sign_HangarB_01_RedWhite
M space/Sign_HangarB_02_BlueWhite
M space/Sign_HangarB_03_YellowBlk
M space/Sign_HangarB_04_BlueBlk
M space/space_wall1
M space/space_wall10
M space/space_wall11
M space/space_wall2
M space/space_wall3
M space/space_wall4
M space/space_wall5
M space/space_wall6
M space/space_wall7
M space/space_wall8
M space/space_wall9
M space/SS_arena_bottom
M space/SS_arena_Door
M space/SS_arena_middle
M space/SS_arena_sidehall
M space/SS_arena_top
M space/SS_black_pipe
U space/SS_blue_floor_light
U space/SS_blue_overhead_lights
U space/SS_blue_pillar_lights
M space/SS_capsule_bottom
M space/SS_capsule_side_a_128x128
M space/SS_capsule_side_a_64x64
M space/SS_capsule_side_b_128x128
M space/SS_capsule_side_b_64x64
M space/SS_capsule_side_bottom
M space/SS_Cargo_door
M space/SS_cargo_door_inside
M space/SS_comm_room_door
M space/SS_control_room_bottom_center
M space/SS_control_room_bottom_side
M space/SS_control_room_top
M space/SS_control_room_window_bar
U space/SS_cracked_glass
M space/SS_Crates_01
M space/SS_Crates_02
M space/SS_DiamondPlate
M space/SS_door_button
M space/SS_doorway_hood
U space/SS_elevator_light
M space/SS_escape_pod_access
M space/SS_FlatPanelWall_01
M space/SS_floor_lower
M space/SS_floor_lower_a
M space/SS_floor_lower_b
M space/SS_floor_lower_c
M space/SS_floor_raised
M space/SS_floor_raised_a1
M space/SS_floor_raised_a2
M space/SS_floor_raised_b
M space/SS_floor_raised_center_b
M space/SS_floor_siding
M space/SS_GalleryFront
M space/SS_generic_floor_grate
U space/SS_glass_01
U space/SS_glass_02
U space/SS_glass_03
U space/SS_glass_04
U space/SS_glass_envmap_drake
U space/SS_glass_envmap_drake2
U space/SS_glass_envmap_drake3
U space/SS_glass_envmap_reactor
U space/SS_glass_envmap_reactor2
U space/SS_glass_envmap_start
U space/SS_glass_envmap_tube
M space/SS_grated_floor
M space/SS_GrateSolid_01
M space/SS_hall_end_door
M space/SS_hall_main_1
M space/SS_hallwall_curve
M space/SS_hallwall_top_filler
M space/SS_hallway_top
M space/SS_Hallway_wall
M space/SS_hallway_wall2
M space/SS_hallway_wall3
M space/SS_hatch_blower
M space/SS_hatch_blower_defused
M space/SS_HexWall_01
M space/SS_InsulatedWall_01
M space/SS_InsulatedWall_02
U space/SS_jetpack_recharger
U space/SS_jetpack_refuel_sign
M space/SS_little_roundbeam
M space/SS_Missile_Black
M space/SS_missile_bottom
M space/SS_missile_console1
M space/SS_missile_console2
M space/SS_Missile_Fin
M space/SS_missile_hatch
M space/SS_missile_Hatch_outside
M space/SS_missile_hatcharea
M space/SS_missile_middle_fin
M space/SS_missile_next_to_bottom
M space/SS_Missile_nosecone
M space/SS_Missile_panel
M space/SS_Missile_panel2
M space/SS_Missile_side
M space/SS_missile_side_nohatch
M space/SS_Missile_side2
M space/SS_missile_top
M space/SS_missile_top_wings
M space/SS_nuke_crate_logo3
M space/SS_nuke_crate3
M space/SS_O2Tank_large
M space/SS_O2Tank_small
U space/SS_orange_doorlight
M space/SS_PanelledWall_01
M space/SS_PanelledWall_02
M space/SS_Pylon_01
M space/ss_reactor_side
M space/ss_reactor_side2
M space/ss_reactor_side3
M space/ss_reactor_side4
M space/SS_reactor_support_beam
M space/SS_reactor_support_bottom
M space/SS_reactor_support_side
M space/SS_reactor_support_side_bottom
M space/SS_recessed_hallway
M space/SS_recessed_hallway_B
M space/SS_recessed_hallway_C
U space/SS_red_bulb
M space/SS_red_ladder_front
M space/SS_red_ladder_side
U space/SS_red_light
U space/SS_red_light_side
M space/SS_red_metal_trim_01
M space/SS_red_trim_beam_a_32x32
M space/SS_red_trim_beam_a_64x64
M space/SS_red_trim_beam_b_32x32
M space/SS_red_trim_beam_b_64x64
M space/SS_red_trim_capsule
M space/SS_refill_light
M space/SS_refill_wall
M space/SS_RingGirder
E space/SS_RubberFloor_01
U space/SS_screen_control_room1
U space/SS_screen_control_room2
U space/SS_screen_control_room3
U space/SS_screen_control_room4
U space/SS_screen_control_room5
U space/SS_scuffed_glass
U space/ss_sign_access_denied
U space/ss_sign_access_denied_unlit
U space/SS_Sign_Communication
U space/SS_Sign_Escape_pod
U space/SS_sign_fuel_refill
U space/SS_Sign_Missile_Control
U space/SS_sign_missile_control_A
U space/SS_sign_missile_control_B
U space/SS_sign_missile_control_up
U space/SS_Sign_Reactor_Core
U space/SS_sign_shuttle_A
U space/SS_Sign_Shuttle_B
M space/ss_silo_beam1
M space/ss_silo_beam2
M space/SS_silo_column_light
M space/SS_silo_plat_grating
M space/SS_silo_plat_grating_02
M space/SS_Silo_platform_grate_test
M space/SS_silo_tower
M space/SS_silo_tower_2
M space/SS_silo_tower_top
M space/SS_silo_wall
M space/SS_silo_wall_a
M space/SS_silo_wall_b
M space/SS_silo_wall_c
M space/SS_silo_wall_d
M space/ss_small_airlock_door
M space/ss_small_panel_glow
M space/SS_square_floorlight_blue
M space/SS_stair_middle
M space/SS_stair_side
M space/SS_Tank_small
M space/SS_Tank_Small_top
M space/SS_Tank_Tall
M space/SS_Tank_Tall_top
M space/SS_Tank_Tall_top2
M space/SS_tower_column_light
M space/SS_tower_top_ring
M space/SS_tuberoom_bottom
M space/SS_tuberoom_bottom_recess
M space/SS_tuberoom_bottom_recess_B
M space/SS_tuberoom_center
M space/SS_tuberoom_center_door_02
M space/SS_tuberoom_circlebeam
M space/SS_tuberoom_corner
M space/SS_tuberoom_side
M space/SS_under_walk
M space/SS_under_walk_light
M space/SS_VerticalSupport_01
M space/SS_wall_arena_bottom
M space/SS_wall_arena_middle
M space/SS_wall_arena_top
M space/SS_wall_recess
M space/SS_wall_recess_B
M space/SS_wall_white_arena
M space/SS_wall_white_middle_arena
M space/SS_wall_white_top_arena
M space/SS_warhead
M space/SS_warhead_above_switch
M space/SS_warhead_base
M space/SS_warhead_button
M space/SS_warhead_button_green
M space/SS_warhead_button_side
M space/SS_warhead_center_border
U space/SS_warhead_center_window
U space/SS_warhead_glass
M space/SS_warhead_inside_bottom
M space/SS_warhead_inside_wall
M space/SS_warhead_lever_light
M space/SS_warhead_switch_green
M space/SS_warhead_switch_red
M space/SS_white_wall_angle_01
M space/SS_white_wall_angle_02



/////////////////////////////////////
//MULTIPLAYER
/////////////////////////////////////

/////////////////////////////////////
//Wahoo
/////////////////////////////////////

M wahoo/+0shttlebayswtch
M wahoo/+Ashttlebayswtch
M wahoo/accordian
M wahoo/accordian2
M wahoo/accordian2b
M wahoo/accordian2c
M wahoo/AirlockBttn
M wahoo/airlockDoor
M wahoo/airlockDoor2
E wahoo/BlackFloor
M wahoo/Bluetank
P wahoo/building_a_wall
P wahoo/building_b_beam
M wahoo/building_b_door
E wahoo/building_c_wall
P wahoo/cargo_trim1
P wahoo/cargo_trim2
P wahoo/cargo_trim3
P wahoo/cargo_trim4
P wahoo/cargo_wall_blue1
P wahoo/cargo_wall_blue2
P wahoo/cargo_wall_blue3
P wahoo/cargo_wall_flat
P wahoo/cargo_wall_flat1
P wahoo/cargo_wall_monitor
P wahoo/cargo_wall_no_stripe
P wahoo/cargo_wall_red1
P wahoo/cargo_wall_red2
P wahoo/cargo_wall_red3
P wahoo/cargo_wall1
P wahoo/cargo_wall1b
P wahoo/cargo_wall2
P wahoo/cargo_wall3
M wahoo/Cntrl_1
M wahoo/Cntrl_2
M wahoo/Cntrl_3
M wahoo/Cntrl_4
M wahoo/Cntrl_5
M wahoo/companel
M wahoo/comprack
M wahoo/comprack2
M wahoo/comprack3
M wahoo/computer
M wahoo/console
M wahoo/consoleB
M wahoo/CTF_Floor_Cargo_01
M wahoo/CTF_Floor_Cargo_02
M wahoo/CTF_Floor_Cargo_03
M wahoo/CTF_Floor_Cargo_04
M wahoo/CTF_Floor_machinery_01
M wahoo/CTF_Floor_machinery_01c
M wahoo/CTF_Floor_machinery_02
M wahoo/CTF_Floor_machinery_03
M wahoo/CTF_Floor_machinery_03c
M wahoo/CTF_Floor_machinery_04
M wahoo/CTF_Floor_Path_01
M wahoo/CTF_Walkway_01
M wahoo/CTF_Walkway_Edge_01
M wahoo/CTS_Floor_Cargo_01
M wahoo/CTS_Floor_Cargo_03
M wahoo/electric_01
M wahoo/electric_02
M wahoo/electric_03
M wahoo/electric_04
U wahoo/Floor_black_glass_01
U wahoo/FloorBlack
M wahoo/Floormesh
E wahoo/Floorstripe
E wahoo/Floortile
E wahoo/floortile_dark
E wahoo/Floortile2
E wahoo/Floortile3
E wahoo/Floortile4
M wahoo/hatch
M wahoo/hatchStrip
U wahoo/lightfixture
U wahoo/lightpanel
U wahoo/lightsquare
U wahoo/lightsquareR
M wahoo/metal_aluminum
M wahoo/metalpenrusted_02b
U wahoo/metalsheet1
U wahoo/monitordisplay
U wahoo/monitordisplay2
M wahoo/newcomp_panel
M wahoo/newcomp_panel2
M wahoo/newpanel1
M wahoo/newpanelSide
P wahoo/outerSatSkin
P wahoo/outerSatSkin2
P wahoo/outerSatSkin3
M wahoo/panel1
M wahoo/panel1B
M wahoo/panel1R
M wahoo/panel2
M wahoo/panel2a
M wahoo/panel2aB
M wahoo/panel2aR
M wahoo/panel2B
M wahoo/panel2R
M wahoo/panel3
M wahoo/panel4
M wahoo/panel4a
M wahoo/panel4b
M wahoo/panel4c
M wahoo/panel5
M wahoo/panel6
M wahoo/panel7
M wahoo/panel8
M wahoo/panel9
M wahoo/panel9a
M wahoo/panelBlack
M wahoo/panelSpprt
M wahoo/panelX
M wahoo/pipe
M wahoo/pipe_wall
M wahoo/pipe2
M wahoo/randomDoor
M wahoo/Redtank
M wahoo/SCROLL_GAR008
M wahoo/ShttleBayBttn
M wahoo/ShttleBlckhd
M wahoo/ShttleInt
M wahoo/ShttleSkin
M wahoo/ShttleSkin2
M wahoo/ShttleSkin2B
M wahoo/ShttleSkin2R
M wahoo/ShttleSkinB
M wahoo/ShttleSkinR
M wahoo/Shuttle_bay_sign
M wahoo/shuttlecabinets
M wahoo/shuttlecabinets2
M wahoo/shuttlestuff
M wahoo/shuttlestuff2
M wahoo/shuttlewall
M wahoo/shuttlewall2
M wahoo/smallpanel1
M wahoo/smallpanel2 copy
U wahoo/solarpanel
M wahoo/SolarpBorder
M wahoo/SS_wall_blue
M wahoo/SS_wall_blue2
M wahoo/SS_wall_red
M wahoo/SS_wall_red2
U wahoo/stationglass
M wahoo/switch1
M wahoo/switch1a
M wahoo/switchoff
M wahoo/switchon
P wahoo/trim_black_01
P wahoo/trim_floor_01
M wahoo/trim_floor_01_grate
M wahoo/trim_floor_01_light
M wahoo/Walkway_01
M wahoo/WalkwaySide
M wahoo/WalkwaySideB
M wahoo/wall_corrbig_bot

/////////////////////////////////////
//Casino
/////////////////////////////////////

W casino/barbckdrp128
W casino/barmap128
C casino/carpet_01_064x064
C casino/carpet_01_128x128
C casino/carpet_01a_064x064
C casino/carpet_01a_128x128
C casino/carpet_end11
C casino/carpet_fancybig
C casino/carpet_fancyred
C casino/carpet_fancysm
C casino/carpet_greenstrip_01
C casino/carpet_greyrug
C casino/carpet_oriental
C casino/carpet_runnergreen
C casino/carpet_tile_flwrdrkblu
C casino/carpet_tile_flwrred
C casino/carpet_tile128
C casino/carpet_tile128drkr
C casino/carpet_tile128violet
C casino/carpet_xbluetrim
C casino/carpet64
C casino/carpetedging
C casino/carpetilealtrnt
C casino/carpetilealtrnt_edgebrdr
C casino/carpetilealtrnt_edgecrnr
C casino/carpetilealtrnt_edgeplain
C casino/carpetilealtrntSMALL
C casino/carpetilealtrntSMALL2
C casino/carpetileceasar
C casino/carpetrunner32
C casino/Casino_drape_lower
C casino/casino_drape_lowergreen
P casino/cieling_00
P casino/cieling_01
P casino/cieling_10
P casino/Cieling_bilbao
W casino/deskdrawer
W casino/doorbotm
W casino/doortop
C casino/drape
M casino/GEN_gold
M casino/GEN_golddrk
W casino/GEN_wood
U casino/glass_pane
U casino/glass_pane_dark
E casino/marble_floortile
M casino/metal_fancyrail
M casino/metal_girderbase
P casino/Painting_dude_bottom
P casino/Painting_dude_top
P casino/Painting02
P casino/Painting03
M casino/sign_balcony
M casino/sign_lounge_left
M casino/sign_lounge_right
M casino/sign_lounge_right_new
M casino/sign_maxcap600
M casino/sign_restricted
M casino/sign_study_left
M casino/sign_study_right
P casino/stairtop
P casino/stairunderside
P casino/TRIM_clmn
P casino/TRIM_litldetail
P casino/TRIM_litlPLAIN
P casino/TRIM_PLAINa
P casino/TRIM_PLAINb
P casino/TRIM_PLAINv
P casino/WALL_00LTOP
P casino/WALL_00TOPplain
P casino/WALL_01RTOP
P casino/WALL_02RTOP
P casino/WALL_03aTRMDL
P casino/WALL_03LTOP
P casino/WALL_03RTOP
P casino/WALL_05BTML
P casino/WALL_05BTMR
P casino/WALL_05MIDL
P casino/WALL_05TOPL
P casino/WALL_08btm
P casino/WALL_08midl
P casino/WALL_08upper
P casino/WALL_all00
P casino/WALL_all01
P casino/WALL_all01M
P casino/WALL_all02
P casino/WALL_all03
P casino/WALL_all04
P casino/WALL_bartop64
P casino/WALL_boder
P casino/WALL_brasstrim
P casino/WALL_darkBTM
P casino/WALL_darkedge
P casino/WALL_darkL
P casino/WALL_darktop
P casino/WALL_darktopedge
P casino/WALL_EDGE0
P casino/WALL_GEN_BTM
P casino/WALL_GEN0dark
P casino/WALL_GEN0darkdetail
P casino/WALL_GENblugrey
P casino/WALL_GENbtmmid0
P casino/WALL_GENdark
P casino/WALL_GENEDGE
P casino/WALL_GENlight
P casino/WALL_GENltyelo
P casino/WALL_GENmid0
P casino/WALL_GENmiddetail
P casino/WALL_GENmiddetail1
P casino/WALL_GENmiddetaildrk
P casino/WALL_GENmidhorzedgeL 
P casino/WALL_GENmidhorzedgeR
P casino/WALL_GENmidlhorzntl
P casino/WALL_GENmidsquare
P casino/WALL_GENtopmid0
P casino/WALL_GENwarmgrey
P casino/WALL_LBTM
P casino/WALL_LTOP
P casino/WALL_RTOP
P casino/WALL_top
P casino/WALL_TOP128detail
P casino/WALL_TOP128plain
P casino/WALL_TOP64plain
P casino/WALL_vertical
W casino/wood01darkred_01


/////////////////////////////////////
//romania
/////////////////////////////////////

E romania/BRICK_is_mid3a
E romania/build_bl_1
E romania/build_bl_1_flat
E romania/build_bl_1w2
E romania/build_bl_2
E romania/build_bl_2s
E romania/build_bl_2sw2
E romania/build_bl_2w2
E romania/build_br_1
E romania/build_br_1d
E romania/build_ci_1
E romania/build_ci_1w2
E romania/build_ci_2
E romania/build_ci_2w2
E romania/build_cn_1
E romania/build_cn_1_flat
E romania/build_cn_1b
E romania/build_cn_1bw
E romania/build_cn_1bw_trim
E romania/build_cn_1bw2
E romania/build_cn_1bw2_trim
E romania/build_cn_1w
E romania/build_cn_1w_trim
E romania/build_cn_1w2
E romania/build_cn_1w2_trim
E romania/build_edge1
E romania/build_edge1b
E romania/build_edge2
E romania/build_hall_1d
E romania/build_hall_1ddr
E romania/build_hall_1dt
E romania/build_hall_1dtdr
E romania/build_hall_1dtw2
E romania/build_hall_1dtw2b
E romania/build_hall_1dtw2b0
E romania/build_hall_1dtw2b1
E romania/build_hall_1t
E romania/build_hall_1tw2
P romania/build_hs_1_arch
P romania/build_hs_1_flat
P romania/build_hs_1_flatshadow
P romania/build_hs_1w1
P romania/build_hs_1w4
P romania/build_hs_trim
E romania/build_old_1_arch
E romania/build_old_1dr
E romania/build_old_1dt
E romania/build_old_1dtw2
E romania/build_old_1t
W romania/build_old_door1
E romania/build_pil_1
E romania/build_pil_1_tile
E romania/build_pil_1p
E romania/build_pil_1p_top
E romania/build_pil_1pw2
E romania/build_pil_1pw2_top
E romania/build_pil_1w2
E romania/build_pil_lower_1
P romania/build_pl_1t
P romania/build_pl_base_1
P romania/build_pl_base_1_trim
P romania/build_pl_base_1_trim2
P romania/build_pl_base_1_w2_trim2
P romania/build_pl_base_1_w2b
P romania/build_pl_base_1b
P romania/build_pl_base_1b_arch
P romania/build_pl_base_1b_trim
P romania/build_pl_base_1b_trim2
P romania/build_pl_base_1b_w2
P romania/build_pl_base_1b_w2_trim2
P romania/build_pl_base_1b_w2b
P romania/build_pl_base_1w2
P romania/build_pl_indoor_1
P romania/build_pl_indoor_1w2
P romania/build_pl2_1_arch
P romania/build_pl2_1_flat
P romania/build_pl2_1_pillar
P romania/build_pl2_1t
P romania/build_pl2_1tw2
P romania/build_pl2_1w2-top
P romania/build_pl2_flatpillar
P romania/build_pnk_1
P romania/build_pnk_1cl
P romania/build_pnk_1clw
P romania/build_pnk_1p
P romania/build_pnk_1pw
P romania/build_pnk_1w
P romania/build_pnk_lower_1
P romania/build_pnk_lower_1w2
P romania/build_pnk2_1_flat
P romania/build_pnk2_1_frame
P romania/build_pnk2_1d
P romania/build_pnk2_1dtw2
P romania/build_pnk2_2_flat
P romania/build_pnk2_2_top
P romania/build_pnk2_2_topB
P romania/build_pnk2_2d
P romania/build_pnk2_2dB
P romania/build_pnk2_2dw2
P romania/build_pnk2_2dw2B
P romania/build_pnk2_2mold
P romania/build_pnk2_dt
P romania/build_red2_1_flat
P romania/build_red2_1d-b
P romania/build_red2_1dt
P romania/build_red2_1dtw1
P romania/build_res_1
P romania/build_res_1p
P romania/build_res_2
P romania/build_res_3
P romania/build_res_3_sshw
P romania/build_res_3dr
P romania/build_res_3w2
P romania/build_res_4
P romania/build_res_4_btm
P romania/build_res_4_tw_blue
P romania/build_res_4_tw_blueD
P romania/build_res_4_tw_red
P romania/build_res_4_tw_redD
P romania/build_res_4_tw2_blue
P romania/build_res_4_tw2_blueD
P romania/build_res_4_tw2_red
P romania/build_res_4_tw2_redD
P romania/build_res_4cl
P romania/build_res_4cl_vent
P romania/build_res_4cl_vent2
P romania/build_res_4clw2b
P romania/build_res_4clw2b2
P romania/build_res_4clw-a
P romania/build_res_4clw-a2
P romania/build_res_4clw-b
P romania/build_res_4clw-b2
P romania/build_res_4clw-c
P romania/build_res_4clw-c2
P romania/build_res_4clw-d
P romania/build_res_4clw-d2
P romania/build_res_4clw-e
P romania/build_res_4d
P romania/build_res_4dr
P romania/build_res_4dr1
P romania/build_res_4dr2
P romania/build_res_4w-a
P romania/build_res_4w-a2
P romania/build_res_4w-b
P romania/build_res_4w-b2
P romania/build_res_5t
P romania/build_res_5tp
P romania/build_res_5tpw2
P romania/build_res_5tw2
P romania/build_res_6t
P romania/build_res_6td
P romania/build_res_6td-orange
P romania/build_res_6td-red
P romania/build_res_6tdw2b-orange
P romania/build_res_6tdw2b-orange2
P romania/build_res_6tdw2b-orange2b
P romania/build_res_6tdw2b-red
P romania/build_res_6tdw2-orange
P romania/build_res_6tdw2-red
P romania/build_res_6tdw-dirty
P romania/build_res_6tdw-red
P romania/build_res_6tw
P romania/build_res_6tw2b-orange
E romania/build_roof1
E romania/build_roof2
E romania/build_roof2b
E romania/build_side
E romania/build_side2
P romania/build_sl_1_base
P romania/build_sl_1_base_damp1
P romania/build_sl_2_base
P romania/build_sl_2_base_damp1
P romania/build_sl2_0
P romania/build_sl2_0w2
P romania/build_sl2_1
P romania/build_sl2_1_flat
P romania/build_sl2_1b
P romania/build_sl2_1bp
P romania/build_sl2_1bpw2
P romania/build_sl2_1bw2
P romania/build_sl2_1c
P romania/build_sl2_1cw2
P romania/build_sl2_1pw2
P romania/build_sl2_2cw2
P romania/build_trim_crete_1
P romania/build_wh_1_base
P romania/build_wh_1_trim
P romania/build_wh_1b_trim
P romania/build_wh_1bw2_trim
P romania/build_wh_1w2
P romania/build_wh_1w2_trim
P romania/build_yel_base_1
P romania/build_yel_base_1_crete
P romania/build_yel_base_1_cretetop
P romania/build_yel_base_1_damp
P romania/build_yel_base_1_damptop
P romania/build_yel_base_1door
P romania/build_yel_base_1w1_crete
P romania/build_yel_base_1w1_cretetop
P romania/build_yel_base_1w1_damptop
P romania/build_yel_base_1w2_crete
P romania/build_yel_base_1w2_cretetop
P romania/build_yel_base_1w2_damptop
P romania/build_yel_indoor_1
P romania/build_yel_indoor_1w1
P romania/build_yel_indoor_1w2
C romania/carpetedging_stall
P romania/ceiling_japrip
P romania/ceiling_shingles_01
P romania/ceiling_shingles_01b
P romania/citywalls_wall
E romania/concrete_grey_1
E romania/concrete_grey_1_a
E romania/concrete_grey_1_x
E romania/concrete_grey_2
E romania/concrete_kitchen
E romania/concrete_light
E romania/concrete_light_02
E romania/concrete_light_02b
E romania/concrete_pale_1_a
E romania/concrete_pale_1_b
E romania/concrete_pale_1_cafe
E romania/concrete_pale_1_x
E romania/concrete_pale_1d
E romania/concrete_pale_1pl
E romania/concrete_pale_2
E romania/concrete_paleo_1
E romania/concrete_paleo_1_a
E romania/concrete_paleo_1_b
E romania/concrete_paleo_1_m
E romania/concrete_paleo_1_n
E romania/concrete_paleo_1_o
E romania/concrete_paleo_2
E romania/concrete_paley_1
E romania/concrete_paley_1_a
E romania/concrete_paley_1_b
E romania/concrete_paley_1_br_bot
E romania/concrete_paley_1_brick
E romania/concrete_paley_1_brickpil
E romania/concrete_paley_1_m
E romania/concrete_paley_1_n
E romania/concrete_paley_1_o
E romania/concrete_paley_1w
E romania/concrete_paley_1w2
E romania/concrete_plas_1_bot
E romania/concrete_plast_1
E romania/concrete_rough_1
E romania/concrete_rough_1_a
E romania/concrete_rough_1_b
E romania/concrete_rough_1_c
E romania/concrete_rough_1_m
E romania/concrete_rough_1_n
E romania/concrete_rough_1_o
E romania/concrete_rough_1_p
E romania/concrete_rough_1_pil
E romania/concrete_rough_1_q
E romania/concrete_rough_1_q_clean
E romania/concrete_rough_1_wire
E romania/concrete_rough_1_x
E romania/concrete_rough_1_x_a
E romania/concrete_rough_1wndw
E romania/concrete_rough_1wndw2
W romania/door_redwd_ironhrdware
W romania/doorint01trim_04
